"日期","收市","開市","高","低","成交量","升跌（%）"
"2023-8-16","35,101.00","35,022.00","35,188.00","34,937.00","85.04K","0.27%"
"2023-8-15","35,007.00","35,347.00","35,413.00","34,957.00","1.07K","-1.03%"
"2023-8-14","35,371.00","35,391.00","35,456.00","35,226.00","131.74K","0.06%"
"2023-8-11","35,351.00","35,265.00","35,431.00","35,115.00","139.82K","0.28%"
"2023-8-10","35,251.00","35,271.00","35,660.00","35,179.00","206.77K","0.14%"
"2023-8-9","35,202.00","35,376.00","35,494.00","35,131.00","140.79K","-0.55%"
"2023-8-8","35,395.00","35,563.00","35,569.00","35,076.00","153.08K","-0.45%"
"2023-8-7","35,554.00","35,150.00","35,589.00","35,140.00","146.89K","1.16%"
"2023-8-5","35,145.00","35,145.00","35,145.00","35,145.00","","-0.02%"
"2023-8-4","35,153.00","35,295.00","35,602.00","35,117.00","183.91K","-0.45%"
"2023-8-3","35,312.00","35,396.00","35,494.00","35,216.00","153.65K","-0.26%"
"2023-8-2","35,403.00","35,650.00","35,728.00","35,333.00","167.19K","-0.99%"
"2023-8-1","35,757.00","35,706.00","35,810.00","35,571.00","125.39K","0.17%"
"2023-7-31","35,695.00","35,598.00","35,713.00","35,511.00","105.89K","0.29%"
"2023-7-28","35,592.00","35,439.00","35,708.00","35,376.00","144.65K","0.45%"
"2023-7-27","35,431.00","35,635.00","35,843.00","35,346.00","188.13K","-0.71%"
"2023-7-26","35,684.00","35,573.00","35,800.00","35,470.00","173.88K","0.22%"
"2023-7-25","35,604.00","35,584.00","35,693.00","35,527.00","124.98K","0.06%"
"2023-7-24","35,581.00","35,397.00","35,638.00","35,351.00","127.73K","0.55%"
"2023-7-22","35,385.00","35,385.00","35,385.00","35,385.00","","-0.04%"
"2023-7-21","35,398.00","35,413.00","35,516.00","35,348.00","144.93K","-0.01%"
"2023-7-20","35,401.00","35,237.00","35,549.00","35,192.00","176.63K","0.42%"
"2023-7-19","35,253.00","35,120.00","35,417.00","35,110.00","167.59K","0.32%"
"2023-7-18","35,142.00","34,744.00","35,173.00","34,691.00","155.19K","1.09%"
"2023-7-17","34,763.00","34,647.00","34,850.00","34,580.00","117.30K","0.25%"
"2023-7-14","34,678.00","34,547.00","34,788.00","34,495.00","135.13K","0.25%"
"2023-7-13","34,590.00","34,570.00","34,675.00","34,543.00","110.88K","0.12%"
"2023-7-12","34,550.00","34,439.00","34,792.00","34,410.00","151.14K","0.25%"
"2023-7-11","34,464.00","34,151.00","34,493.00","34,060.00","140.62K","0.93%"
"2023-7-10","34,146.00","33,968.00","34,169.00","33,803.00","123.29K","0.62%"
"2023-7-7","33,937.00","34,107.00","34,244.00","33,918.00","137.65K","-0.57%"
"2023-7-6","34,131.00","34,488.00","34,495.00","33,967.00","159.33K","-1.10%"
"2023-7-5","34,509.00","34,628.00","34,652.00","34,435.00","144.07K","-0.27%"
"2023-7-4","34,604.00","34,624.00","34,652.00","34,584.00","30.44K","-0.10%"
"2023-7-3","34,637.00","34,619.00","34,688.00","34,510.00","73.71K","-0.02%"
"2023-6-30","34,643.00","34,325.00","34,705.00","34,313.00","125.43K","0.84%"
"2023-6-29","34,353.00","34,145.00","34,388.00","34,051.00","158.62K","0.74%"
"2023-6-28","34,101.00","34,169.00","34,218.00","33,993.00","150.80K","-0.24%"
"2023-6-27","34,183.00","34,002.00","34,232.00","33,901.00","149.65K","0.62%"
"2023-6-26","33,971.00","33,977.00","34,072.00","33,855.00","131.13K","-0.02%"
"2023-6-23","33,977.00","34,250.00","34,250.00","33,888.00","144.69K","-0.68%"
"2023-6-22","34,210.00","34,248.00","34,274.00","34,096.00","133.73K","-0.07%"
