"175660.0","-806297.7173913043"
"158890.0","-814682.7173913043"
"1050130.0","-369062.7173913043"
"1629710.0","-79272.71739130432"
"1675430.0","-56412.71739130432"
"2671690.0","441717.2826086957"
"2632380.0","422062.2826086957"
"3873180.0","1042462.2826086957"
"2769560.0","490652.2826086957"
"4814410.0","1513077.2826086958"
"5220260.0","1716002.2826086958"
"5609140.0","1910442.2826086958"
"5732700.0","1972222.2826086958"
"8316580.0","3264162.282608696"
"7935760.0","3073752.282608696"
"7246570.0","2729157.282608696"
"3924840.0","1068292.2826086958"
"3387700.0","799722.2826086957"
"4900130.0","1555937.2826086958"
"4546690.0","1379217.2826086958"
"3165890.0","688817.2826086957"
"1847540.0","29642.282608695677"
"1726980.0","-30637.717391304323"
"2579890.0","395817.2826086957"
"1918700.0","65222.28260869568"
"1692060.0","-48097.71739130432"
"2796900.0","504322.2826086957"
"2670300.0","441022.2826086957"
"1828060.0","19902.282608695677"
"3427800.0","819772.2826086957"
"1462840.0","-162707.71739130432"
"1459740.0","-164257.71739130432"
"1609730.0","-89262.71739130432"
"2615750.0","413747.2826086957"
"1796620.0","4182.2826086956775"
"1019170.0","-384542.7173913043"
"1060890.0","-363682.7173913043"
"3846860.0","1029302.2826086957"
"1930650.0","71197.28260869568"
"1766580.0","-10837.717391304323"
"2539390.0","375567.2826086957"
"1720350.0","-33952.71739130432"
"1852860.0","32302.282608695677"
"1849550.0","30647.282608695677"
"1485520.0","-151367.71739130432"
"2405700.0","308722.2826086957"
"1673000.0","-57627.71739130432"
"944830.0","-421712.7173913043"
"1698970.0","-44642.71739130432"
"1399720.0","-194267.71739130432"
"1439490.0","-174382.71739130432"
"2524950.0","368347.2826086957"
"1627520.0","-80367.71739130432"
"1010550.0","-388852.7173913043"
"1658390.0","-64932.71739130432"
"1349330.0","-219462.71739130432"
"2567340.0","389542.2826086957"
"1286110.0","-251072.71739130432"
"706200.0","-541027.7173913043"
"786140.0","-501057.7173913043"
"0","-894127.7173913043"
"774640.0","-506807.7173913043"
"574530.0","-606862.7173913043"
"835450.0","-476402.7173913043"
"823610.0","-482322.7173913043"
"779590.0","-504332.7173913043"
"2087020.0","149382.28260869568"
"972520.0","-407867.7173913043"
"308740.0","-739757.7173913043"
"482120.0","-653067.7173913043"
"0","-894127.7173913043"
"498100.0","-645077.7173913043"
"335330.0","-726462.7173913043"
"198020.0","-795117.7173913043"
"0","-894127.7173913043"
"173680.0","-807287.7173913043"
"258110.0","-765072.7173913043"
"247190.0","-770532.7173913043"
"800140.0","-494057.7173913043"
"291160.0","-748547.7173913043"
"494630.0","-646812.7173913043"
"0","-894127.7173913043"
"115100.0","-836577.7173913043"
"54060.0","-867097.7173913043"
"87330.0","-850462.7173913043"
"0","-894127.7173913043"
"0","-894127.7173913043"
"0","-894127.7173913043"
"0","-894127.7173913043"
"0","-894127.7173913043"
"0","-894127.7173913043"
"308160.0","-740047.7173913043"
